k,inertia,silhouette_score
2,1894.47080839983,0.25364700839501547
3,1526.8876772561962,0.23881298467335366
4,1317.7244431467384,0.21165943237508764
5,1166.3512078216047,0.22723910130505579
6,1073.579184952391,0.22783048232804579
7,985.268585981716,0.21331276263074112
8,913.2312204674345,0.2218319743381441
