player,wins,win_pct,avg_set_diff,avg_point_diff,matches_played,unique_opponents,avg_opponent_win_pct,cluster,distance_to_centroid,cluster_description
Mutu V.,13,0.38235294117647056,-0.7352941176470589,-3.411764705882353,34,12,0.4991913152729122,0,1.1251520115155722,Weaker performance
Mykytuk D.,1,0.07142857142857142,-2.0,-9.071428571428571,14,7,0.46907879332104196,0,3.4943448572567126,Weaker performance
Nakliutskyi A.,11,0.36666666666666664,-0.6333333333333333,-3.8,30,9,0.4959795409286914,0,0.6715740514157824,Weaker performance
Nazar B.,11,0.275,-1.15,-4.825,40,7,0.5379288223853441,0,1.552779124281955,Weaker performance
Novak R.,5,0.3125,-1.0625,-5.375,16,8,0.4839420492142266,0,1.2794057214610606,Weaker performance
Nyzhnyk R.,7,0.1794871794871795,-1.564102564102564,-8.435897435897436,39,10,0.5454445554445554,0,2.63526779813995,Weaker performance
Osadchiy O.,5,0.2,-1.08,-5.72,25,14,0.5458990217479182,0,2.1520268382732075,Weaker performance
Pallya M.,7,0.4666666666666667,-0.2,0.8,15,8,0.5085185185185185,0,1.7050677470389703,Weaker performance
Panchenko B.,11,0.3793103448275862,-0.3793103448275862,-2.689655172413793,29,13,0.4975286158540088,0,1.350412982999024,Weaker performance
Paniivan H.,10,0.29411764705882354,-0.6470588235294118,-3.1470588235294117,34,10,0.5270277866738139,0,0.8600088112071987,Weaker performance
Papirnik O.,9,0.32142857142857145,-0.8214285714285714,-2.1785714285714284,28,16,0.541412829499616,0,2.1199313684047594,Weaker performance
Pavelka J.,3,0.2,-1.1333333333333333,-3.4,15,8,0.4708146930358056,0,1.785829688588056,Weaker performance
Pavliuk V.,4,0.4,-0.3,-2.9,10,10,0.5563556067588326,0,1.6065697823180047,Weaker performance
Peltek V.,9,0.36,-0.52,-0.84,25,10,0.4985142857142857,0,0.9658968079023775,Weaker performance
Pfleger M.,11,0.34375,-0.90625,-4.5625,32,15,0.5172181947572573,0,1.7629720965997382,Weaker performance
Populovskyi E.,9,0.45,-0.3,-1.9,20,11,0.4793726835561811,0,1.528846575808705,Weaker performance
Porhajas P.,5,0.3333333333333333,-0.8,-5.6,15,8,0.5396296296296297,0,1.139245381685493,Weaker performance
Pospisil A.,5,0.4166666666666667,-0.4166666666666667,-3.5,12,8,0.4862536995930448,0,1.165907836419998,Weaker performance
Priadko Y.,1,0.1,-2.0,-11.2,10,6,0.5086688008536748,0,3.605540709714906,Weaker performance
Puk J.,7,0.3684210526315789,-0.6842105263157895,-2.4210526315789473,19,13,0.4934799959677459,0,1.2958920354565577,Weaker performance
Rejent S.,14,0.3888888888888889,-0.4166666666666667,-2.25,36,9,0.5284182227796358,0,1.0010798965581387,Weaker performance
Remunda S.,8,0.4,-0.45,-2.6,20,13,0.5293554075595411,0,1.3199838390414764,Weaker performance
Reva V.,1,0.05,-2.0,-8.55,20,11,0.5129206349206349,0,3.237784327806739,Weaker performance
Romanenko V.,1,0.1,-1.6,-8.5,10,6,0.4638672135520875,0,3.17340963829556,Weaker performance
Rotaru I.,7,0.3684210526315789,-0.8421052631578947,-4.894736842105263,19,8,0.4681000747482742,0,1.4656192566174997,Weaker performance
Sanchez J.,5,0.35714285714285715,-0.5,-4.071428571428571,14,9,0.6064039408866995,0,2.799343825061749,Weaker performance
Scherbak A.,3,0.125,-1.875,-10.916666666666666,24,9,0.5360408303370489,0,3.299363796194137,Weaker performance
Semipeadnii V.,9,0.2903225806451613,-0.9354838709677419,-2.903225806451613,31,8,0.5233990460403108,0,0.7766363257595922,Weaker performance
Senyk M.,10,0.5,-0.15,-0.95,20,7,0.5,0,1.6064800311350231,Weaker performance
Shpak A.,17,0.425,-0.075,-0.275,40,6,0.5029166666666667,0,1.825845661685714,Weaker performance
Shyndel I.,11,0.4583333333333333,-0.2916666666666667,-3.9166666666666665,24,8,0.4406019982376115,0,2.3617996002444297,Weaker performance
Shyshkin M.,13,0.325,-0.975,-6.075,40,11,0.5402261904761905,0,1.6160853419272168,Weaker performance
Silva L.,5,0.5,0.0,-0.6,10,7,0.5580952380952381,0,2.259823187852789,Weaker performance
Sivovol S.,5,0.38461538461538464,-0.3076923076923077,-1.1538461538461537,13,6,0.4843450900465154,0,1.5224190970269296,Weaker performance
Skhabitskiy S.,9,0.36,-0.72,-4.4,25,15,0.4867593713347408,0,1.838621451550865,Weaker performance
Smyrnov M.,10,0.3448275862068966,-0.6551724137931034,-1.1379310344827587,29,7,0.48211201708581675,0,1.2702720094445967,Weaker performance
Sofroni D.,5,0.3333333333333333,-0.8666666666666667,-3.6666666666666665,15,9,0.5530636522946902,0,1.265028305112499,Weaker performance
Sokur M.,9,0.45,-0.8,-5.35,20,13,0.49699503104327025,0,1.5248675553760946,Weaker performance
Sotnikov E.,10,0.4,-0.16,-1.28,25,7,0.5157333333333334,0,1.1594026094042011,Weaker performance
Stejskal T.,3,0.25,-0.6666666666666666,-0.5,12,7,0.5086930307305573,0,1.3073670330219722,Weaker performance
Stracar P.,8,0.4,-0.5,-1.8,20,12,0.46217391304347827,0,1.846343209400241,Weaker performance
Svoboda V.,4,0.3333333333333333,-0.8333333333333334,-3.75,12,8,0.44017094017094016,0,2.25011495955806,Weaker performance
